# Server version 0.08 running on cs-21.CS.McGill.CA:8124
# Game ID: 98
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 23:53:57 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260515841', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260515841
PIT 0 2
PIT 1 22
PIT 0 23
PIT 1 3
PIT 0 1
PIT 1 15
PIT 0 11
PIT 1 22
PIT 0 15
PIT 1 26
PIT 0 8
PIT 1 19
PIT 0 20
PIT 1 6
PIT 0 0
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 23:54:10 EDT 2016
